"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"ALB","MCO","1340","1628",
2017-01-01,"ALB","MCO","0629","0924",
2017-01-01,"ALB","MDW","0538","0714",
2017-01-01,"ALB","MDW","1711","1833",
2017-01-01,"ALB","TPA","1231","1532",
2017-01-01,"ATL","LGA","0844","1039",
2017-01-01,"ATL","LGA","2143","2344",
2017-01-01,"ATL","LGA","0744","0934",
2017-01-01,"ATL","LGA","1751","1940",
2017-01-01,"ATL","LGA","1327","1513",
2017-01-01,"BNA","LGA","1005","1247",
2017-01-01,"BNA","LGA","1551","1838",
2017-01-01,"BUF","BWI","1058","1154",
2017-01-01,"BUF","BWI","1440","1538",
2017-01-01,"BUF","BWI","1735","1835",
2017-01-01,"BUF","BWI","0738","0837",
2017-01-01,"BUF","BWI","1606","1710",
2017-01-01,"BUF","BWI","0601","0714",
2017-01-01,"BUF","FLL","0635","0938",
2017-01-01,"BUF","LAS","1700","1859",
2017-01-01,"BUF","MCO","0945","1223",
2017-01-01,"BUF","MCO","1534","1814",
2017-01-01,"BUF","MCO","0815","1050",
2017-01-01,"BUF","MDW","0728","0813",
2017-01-01,"BUF","MDW","0530","0613",
2017-01-01,"BUF","MDW","1723","1800",
2017-01-01,"BUF","PHX","1235","1529",
2017-01-01,"BUF","TPA","1327","1603",
2017-01-01,"BUF","TPA","0548","0825",
2017-01-01,"BWI","ALB","2230","2329",
2017-01-01,"BWI","ALB","1529","1638",
2017-01-01,"BWI","ALB","2039","2145",
2017-01-01,"BWI","ALB","1235","1354",
2017-01-01,"BWI","ALB","0945","1047",
2017-01-01,"BWI","BUF","1934","2033",
2017-01-01,"BWI","BUF","0906","1013",
2017-01-01,"BWI","BUF","1053","1155",
2017-01-01,"BWI","BUF","2256","2353",
2017-01-01,"BWI","BUF","1516","1619",
2017-01-01,"BWI","BUF","1311","1408",
2017-01-01,"BWI","ISP","1324","1420",
2017-01-01,"BWI","ISP","2044","2144",
2017-01-01,"BWI","ISP","2225","2331",
2017-01-01,"BWI","ISP","0951","1044",
2017-01-01,"BWI","ISP","1528","1629",
2017-01-01,"BWI","ROC","1551","1658",
